Steps,Loss,Accuracy
109,0.10904447734355927,0.94921875
110,0.0910658910870552,0.9568345323741008
111,0.09322641044855118,0.96875
112,0.10793785005807877,0.9609375
113,0.10586091876029968,0.95703125
114,0.11118679493665695,0.953125
115,0.06341444700956345,0.9784172661870504
116,0.10225255787372589,0.9453125
117,0.10281111299991608,0.947265625
118,0.08071955293416977,0.96484375
119,0.08226817846298218,0.962890625
120,0.05636918172240257,0.9784172661870504
121,0.07869583368301392,0.9609375
122,0.08721112459897995,0.9609375
123,0.11675851792097092,0.95703125
124,0.0855296179652214,0.96484375
125,0.057239681482315063,0.9820143884892086
126,0.09158600121736526,0.95703125
127,0.10184754431247711,0.953125
128,0.07911893725395203,0.95703125
129,0.109018974006176,0.96484375
130,0.05751626938581467,0.9712230215827338
131,0.08376972377300262,0.966796875
132,0.09877436608076096,0.962890625
133,0.10751465708017349,0.94921875
134,0.0941038578748703,0.962890625
135,0.05429083853960037,0.9748201438848921
136,0.09408929198980331,0.96484375
137,0.12084352225065231,0.951171875
138,0.1142277792096138,0.953125
139,0.09435559809207916,0.955078125
140,0.07430870085954666,0.960431654676259
141,0.11208032816648483,0.947265625
142,0.10976733267307281,0.9609375
143,0.11122550070285797,0.958984375
144,0.08376401662826538,0.9609375
145,0.07105161249637604,0.9676258992805755
146,0.09101852029561996,0.962890625
147,0.08255530148744583,0.970703125
148,0.09435476362705231,0.962890625
149,0.07412329316139221,0.970703125
150,0.06521500647068024,0.9640287769784173
151,0.08889436721801758,0.96484375
152,0.1056193932890892,0.962890625
153,0.09616393595933914,0.9609375
154,0.11291412264108658,0.9609375
155,0.0843362957239151,0.9676258992805755
156,0.09142088890075684,0.966796875
157,0.10286117345094681,0.9609375
158,0.09445314854383469,0.96484375
159,0.08600287139415741,0.970703125
160,0.06329314410686493,0.9712230215827338
161,0.09329227358102798,0.966796875
162,0.10623802244663239,0.96484375
163,0.10447663068771362,0.9609375
164,0.09424056112766266,0.96875
165,0.04857517406344414,0.9820143884892086
166,0.08563849329948425,0.962890625
167,0.0940784215927124,0.958984375
168,0.09931859374046326,0.96484375
169,0.08972438424825668,0.966796875
170,0.06747911870479584,0.9784172661870504
171,0.12092326581478119,0.94921875
172,0.0888407975435257,0.962890625
173,0.0755067840218544,0.9609375
174,0.08943581581115723,0.958984375
175,0.08827647566795349,0.9676258992805755
176,0.08852380514144897,0.970703125
177,0.08140930533409119,0.966796875
178,0.10119703412055969,0.951171875
179,0.07957901060581207,0.97265625
180,0.05268033593893051,0.9820143884892086
181,0.08372285962104797,0.962890625
182,0.09951562434434891,0.9609375
